manufacturer;model;type;min.price.euros;mid.price.euros;max.price.euros;city.kmpl;highway.kmpl;air.bags;n.cylinders;engine.size;horse.power;rpm;engine.rev;manual.transmission;fuel.tank.litres;n.passengers;length.meters;width.meters;wheelbase.meters;weight.kg
Acura;Integra;Small;10,836;13,356;15,792;10,6275;13,1781;0;4;1,8;140;6300;2890;1;49,96728;5;4,4958;1,7272;2,5908;1226,96636
Acura;Legend;Midsize;24,528;28,476;32,508;7,6518;10,6275;2;6;3,2;200;5500;2335;1;68,1372;5;4,953;1,8034;2,921;1614,78752
Audi;90;Compact;21,756;24,444;27,132;8,502;11,0526;1;6;2,8;172;5500;2280;1;63,97326;5;4,572;1,7018;2,5908;1530,873
Audi;100;Midsize;25,872;31,668;37,464;8,0769;11,0526;2;6;2,8;172;5500;2535;1;79,87194;6;4,9022;1,778;2,6924;1544,48076
BMW;535i;Midsize;19,908;25,2;30,408;9,3522;12,753;1;4;3,5;208;5700;2545;1;79,87194;4;4,7244;1,7526;2,7686;1651,07488
Buick;Century;Midsize;11,928;13,188;14,532;9,3522;13,1781;1;4;2,2;110;5200;2565;0;62,08056;6;4,8006;1,7526;2,667;1306,34496
Buick;LeSabre;Large;16,716;17,472;18,228;8,0769;11,9028;1;6;3,8;170;4800;1570;0;68,1372;6;5,08;1,8796;2,8194;1573,96424
Buick;Roadmaster;Large;18,984;19,908;20,916;6,8016;10,6275;1;6;5,7;180;4000;1320;0;87,0642;6;5,4864;1,9812;2,9464;1861,99516
Buick;Riviera;Midsize;22,092;22,092;22,092;8,0769;11,4777;1;6;3,8;170;4800;1690;0;71,16552;5;5,0292;1,8542;2,7432;1585,30404
Cadillac;DeVille;Large;27,72;29,148;30,492;6,8016;10,6275;1;8;4,9;200;4100;1510;0;68,1372;6;5,2324;1,8542;2,8956;1642,00304
Cadillac;Seville;Midsize;31,5;33,684;35,868;6,8016;10,6275;2;8;4,6;295;6000;1985;0;75,708;5;5,1816;1,8796;2,8194;1784,88452
Chevrolet;Cavalier;Compact;7,14;11,256;15,372;10,6275;15,3036;0;4;2,2;110;5200;2380;1;57,53808;5;4,6228;1,6764;2,5654;1129,44408
Chevrolet;Corsica;Compact;9,576;9,576;9,576;10,6275;14,4534;1;4;2,2;110;5200;2665;1;59,05224;5;4,6736;1,7272;2,6162;1263,25372
Chevrolet;Camaro;Sporty;11,256;12,684;14,112;8,0769;11,9028;2;6;3,4;160;4600;1805;1;58,6737;4;4,9022;1,8796;2,5654;1469,63808
Chevrolet;Lumina;Midsize;11,256;13,356;15,456;8,9271;12,3279;0;4;2,2;110;5200;2595;0;62,4591;6;5,0292;1,8034;2,7432;1449,22644
Chevrolet;Lumina_APV;Van;12,348;13,692;15,12;7,6518;9,7773;0;6;3,8;170;4800;1690;0;75,708;7;4,5212;1,8796;2,794;1685,09428
Chevrolet;Astro;Van;12,348;13,944;15,624;6,3765;8,502;0;6;4,3;165;4000;1790;0;102,2058;8;4,9276;1,9812;2,8194;1825,7078
Chevrolet;Caprice;Large;15,12;15,792;16,464;7,2267;11,0526;1;8;5;170;4200;1350;0;87,0642;6;5,4356;1,9558;2,9464;1773,54472
Chevrolet;Corvette;Sporty;29,064;31,92;34,86;7,2267;10,6275;1;8;5,7;300;5000;1450;1;75,708;2;4,5466;1,8796;2,4384;1533,14096
Chrylser;Concorde;Large;15,456;15,456;15,456;8,502;11,9028;2;6;3,3;153;5300;1990;0;68,1372;6;5,1562;1,8796;2,8702;1594,37588
Chrysler;LeBaron;Compact;12,18;13,272;14,364;9,7773;11,9028;2;4;3;141;5000;2090;0;60,5664;6;4,6482;1,7272;2,6416;1399,33132
Chrysler;Imperial;Large;24,78;24,78;24,78;8,502;11,0526;1;6;3,3;147;4800;1785;0;60,5664;6;5,1562;1,7526;2,794;1619,32344
Dodge;Colt;Small;6,636;7,728;8,904;12,3279;14,0283;0;4;1,5;92;6000;3285;1;49,96728;5;4,4196;1,6764;2,4892;1029,65384
Dodge;Shadow;Small;7,056;9,492;11,928;9,7773;12,3279;1;4;2,2;93;4800;2595;1;52,9956;5;4,3688;1,7018;2,4638;1211,09064
Dodge;Spirit;Compact;9,996;11,172;12,348;9,3522;11,4777;1;4;2,5;100;4800;2535;1;60,5664;6;4,5974;1,7272;2,6416;1347,16824
