RHS;color;consumption;enginecc;fuel;lenght;location;make;mileage;model;power;price;start_production_year;torque;year
make;0.0;11.0;234.0;0.89;358.0;?;5.0;?;?;15.0;500.0;1.0;2.0;2.0
make;4.0;6.0;198.0;0.0;358.0;?;5.0;10000.0;11.0;21.2;3000.0;1.0;1.0;0.0
make;?;?;?;0.0;?;?;5.0;11000.0;?;?;1000.0;1.0;?;?
make;4.0;6.0;?;0.0;?;12.0;5.0;10000.0;?;?;3000.0;1.0;1.0;0.0
make;0.0;11.0;?;?;?;?;5.0;?;?;?;500.0;1.0;?;2.0
make;5.0;?;?;0.0;?;11.0;5.0;?;?;?;1000.0;1.0;?;?
make;4.0;11.0;234.0;0.89;?;11.0;5.0;7000.0;?;15.0;2000.0;1.0;2.0;?
make;5.0;11.0;234.0;0.89;358.0;?;5.0;28000.0;?;15.0;1000.0;1.0;2.0;?
make;0.0;11.0;?;?;?;?;5.0;?;?;?;500.0;1.0;?;?
make;0.0;11.0;234.0;0.89;358.0;?;5.0;?;?;15.0;500.0;1.0;2.0;?
make;?;6.0;198.0;0.0;?;?;5.0;10000.0;11.0;?;3000.0;?;1.0;0.0
make;5.0;12.0;406.0;0.0;750.0;?;5.0;11000.0;9.0;24.0;1000.0;1.0;2.0;4.0
make;?;11.0;?;0.89;?;?;5.0;7000.0;?;?;2000.0;1.0;?;?
make;?;?;?;0.89;?;11.0;5.0;7000.0;?;?;2000.0;?;2.0;?
make;?;?;?;0.0;?;11.0;5.0;11000.0;9.0;?;1000.0;?;2.0;?
make;0.0;?;?;?;358.0;?;5.0;22000.0;?;?;500.0;1.0;?;?
make;0.0;11.0;?;0.89;?;?;5.0;22000.0;?;?;500.0;1.0;?;2.0
make;4.0;6.0;198.0;0.0;358.0;?;5.0;?;?;21.2;?;1.0;1.0;0.0
make;?;?;?;0.89;?;11.0;5.0;23000.0;?;?;5000.0;?;1.0;?
make;0.0;11.0;?;?;?;?;5.0;22000.0;?;?;?;1.0;?;2.0
make;4.0;11.0;?;?;?;11.0;5.0;7000.0;?;?;2000.0;1.0;?;?
make;0.0;11.0;234.0;0.89;358.0;?;5.0;22000.0;?;15.0;500.0;1.0;2.0;?
make;0.0;11.0;234.0;0.89;358.0;?;5.0;22000.0;?;15.0;500.0;1.0;2.0;2.0
make;5.0;12.0;406.0;0.0;750.0;?;5.0;?;?;24.0;1000.0;1.0;2.0;?
make;4.0;11.0;?;?;?;?;5.0;?;?;?;2000.0;1.0;?;?
make;0.0;?;?;0.89;?;?;5.0;22000.0;?;?;500.0;?;2.0;?
make;5.0;11.0;?;?;?;?;5.0;?;?;?;1000.0;1.0;?;1.0
make;4.0;?;?;0.0;358.0;?;5.0;10000.0;?;?;3000.0;1.0;1.0;0.0
make;4.0;11.0;234.0;0.89;?;?;5.0;7000.0;?;15.0;2000.0;1.0;2.0;4.0
make;5.0;11.0;?;?;?;12.0;5.0;?;?;?;1000.0;1.0;?;1.0
make;?;11.0;?;0.89;?;?;5.0;?;?;?;1000.0;1.0;?;1.0
make;4.0;6.0;?;0.0;?;?;5.0;10000.0;?;?;?;1.0;1.0;0.0
make;4.0;12.0;234.0;0.89;363.0;?;5.0;30000.0;?;10.0;6300.0;2.0;1.0;?
make;5.0;11.0;234.0;0.89;358.0;?;5.0;?;?;15.0;1000.0;1.0;2.0;?
make;5.0;11.0;234.0;0.89;358.0;?;5.0;?;?;15.0;1000.0;1.0;2.0;1.0
make;0.0;11.0;?;?;?;?;5.0;22000.0;?;?;500.0;1.0;?;2.0
make;5.0;12.0;406.0;0.0;750.0;11.0;5.0;11000.0;9.0;24.0;1000.0;1.0;2.0;?
make;?;?;?;?;120.0;?;5.0;?;?;?;?;?;?;?
make;?;11.0;?;?;?;?;5.0;28000.0;?;?;1000.0;1.0;?;1.0
make;4.0;11.0;?;?;?;?;5.0;7000.0;?;?;?;1.0;?;?
make;4.0;6.0;?;0.0;?;?;5.0;?;?;?;3000.0;1.0;1.0;0.0
make;4.0;?;?;?;?;?;5.0;7000.0;?;?;2000.0;1.0;?;?
make;4.0;12.0;234.0;0.89;363.0;?;5.0;23000.0;?;10.0;5000.0;2.0;1.0;?
make;5.0;12.0;406.0;0.0;750.0;?;5.0;11000.0;?;24.0;1000.0;1.0;2.0;?
make;?;?;?;0.0;?;?;5.0;11000.0;9.0;?;1000.0;1.0;?;?
make;4.0;6.0;198.0;0.0;358.0;?;5.0;10000.0;?;21.2;3000.0;1.0;1.0;0.0
make;?;6.0;?;0.0;?;?;5.0;10000.0;?;?;?;1.0;1.0;0.0
make;5.0;?;?;0.0;?;?;5.0;?;?;?;1000.0;1.0;?;?
