Acceleration;Car;Cylinders;Displacement;Horsepower;MPG;Model;Origin;RHS;Weight
0.3;16.0;0.0;10.0;?;6.2;7.0;?;Car;0.0
1.0;16.0;0.0;25.0;?;0.5;3.0;?;Car;0.0
0.0;16.0;0.0;?;3.0;1.0;?;0.0;Car;19.0
1.0;16.0;0.0;?;18.0;0.5;3.0;?;Car;0.0
?;16.0;0.0;0.0;12.0;?;0.0;0.0;Car;5.0
0.0;16.0;0.0;?;?;4.0;1.0;0.0;Car;4.0
?;16.0;0.0;?;7.0;0.1;?;0.0;Car;3.0
?;16.0;0.0;0.0;0.0;?;0.0;0.0;Car;30.0
0.4;16.0;0.0;9.0;?;3.8;0.0;?;Car;10.0
?;16.0;0.0;4.0;1.0;?;?;0.83;Car;0.0
2.0;16.0;0.0;0.0;1.0;?;0.0;0.0;Car;30.0
0.0;16.0;0.0;33.0;3.0;0.0;?;0.0;Car;33.0
0.5;16.0;0.0;16.0;10.0;1.0;2.0;0.0;Car;6.0
3.8;16.0;0.0;?;7.0;0.1;?;0.0;Car;3.0
0.3;16.0;0.0;?;5.0;0.5;?;0.0;Car;1.0
0.3;16.0;0.0;10.0;?;?;?;?;Car;0.0
2.5;16.0;0.0;0.5;8.0;?;?;?;Car;4.0
?;16.0;0.0;14.0;5.0;0.0;0.0;0.0;Car;42.0
0.0;16.0;0.0;?;3.0;?;1.0;0.0;Car;19.0
?;16.0;0.0;4.0;1.0;0.5;2.0;0.83;Car;0.0
0.3;16.0;0.0;0.5;?;11.0;10.0;0.0;Car;1.0
0.3;16.0;0.0;0.5;10.0;11.0;?;0.0;Car;1.0
1.0;16.0;0.0;25.0;?;0.5;?;?;Car;0.0
?;16.0;0.0;0.0;?;?;0.0;0.0;Car;5.0
0.0;16.0;0.0;8.0;12.0;?;1.0;0.0;Car;4.0
?;16.0;0.0;4.0;1.0;?;?;?;Car;0.0
?;16.0;0.0;5.0;3.0;0.2;2.0;0.0;Car;6.0
