make;mode;price;location;year;start_production_year;color;mileage;lenght;power;enginecc;torque;consumption;fuel
Ford;Focus 1.6tdci;6500;Pittisburgh(PA);2007;2004;Red;60000;4342;80;1560;260;37.97/58.78/49.04;Diesel
Mazda;3 td;8000;Denver(CO);2009;2009;Gray;45000;4580;80;1560;240;44.38/60.28/53.45;Diesel
Ford;Focus 1.3tdci;11000;San Diego(CA);2010;2010;Blue;15000;4337;85;1560;270;52.29/69.19/61.86;Diesel
Ford;Focus 1.6i 16V;3000;Austin(TX);2005;2004;Blue;48000;4342;73.8;1596;150;21.56/38.55/30.14;Gasoline
Volkswagen;Golf 1.6tdi;12000;Las Vegas(NV);2008;2008;Black;70000;4199;77;1598;250;41.30/60.28/52.29;Diesel
Ford;Focus 1.6tdci;12300;Seattle(WA);2011;2010;Gray;8000;4337;85;1560;270;52.29/69.19/61.86;Diesel
Volkswagen;Golf 1.6tdi;14000;Miami(FL);2009;2008,Gray;50000;4199;77;1598;250;41.30/60.28/52.29;Diesel
Toyota;Avensis 1.8 16V SW;6000;New Orleans(LU);2005;2003;Red;38000;4700;95;1794;170;25.06/40.55/32.64;Gasoline
Ford;Focus 1.6tdci;5000;Chicago(IL);2006;2004;White;66000;4342;80;1560;260;37.97/58.78/49.04;Diesel
Ford;Fiesta 1.4 16V;7000;Charleston(SC);2009;2008;Black;27000;3950;71;1388;125;31.39/51.12/41.30;Gasoline
